date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:32:42	143802/143802	---MCZ	200	added ('OK')	text/css	etag:W/%22663af7d4-2bbec%22	https://templates.hibootstrap.com/fafo/default/assets/css/style.css	C:/My%20Web%20Sites/Restaurant%202/web/images/style.css	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:42	29269/29269	---MCZ	200	added ('OK')	text/css	etag:W/%22663af7d4-993e%22	https://templates.hibootstrap.com/fafo/default/assets/css/responsive.css	C:/My%20Web%20Sites/Restaurant%202/web/images/responsive.css	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:42	7782/7782	---MCZ	200	added ('OK')	text/css	etag:W/%22663af7d4-23de%22	https://templates.hibootstrap.com/fafo/default/assets/css/theme-dark.css	C:/My%20Web%20Sites/Restaurant%202/web/images/theme-dark.css	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:43	1890/1890	---M--	200	added ('OK')	image/png	etag:%22663af7d4-7af%22	https://templates.hibootstrap.com/fafo/default/assets/images/uk.png	C:/My%20Web%20Sites/Restaurant%202/web/images/uk.png	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:43	361/361	---M--	200	added ('OK')	image/png	etag:%22663af7d4-174%22	https://templates.hibootstrap.com/fafo/default/assets/images/germany.png	C:/My%20Web%20Sites/Restaurant%202/web/images/germany.png	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:43	480/480	---M--	200	added ('OK')	image/png	etag:%22663af7d4-589%22	https://templates.hibootstrap.com/fafo/default/assets/images/china.png	C:/My%20Web%20Sites/Restaurant%202/web/images/china.png	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:43	246/246	---M--	200	added ('OK')	image/png	etag:%22663af7d4-456%22	https://templates.hibootstrap.com/fafo/default/assets/images/arab.png	C:/My%20Web%20Sites/Restaurant%202/web/images/arab.png	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:44	2897/2897	---M--	200	added ('OK')	image/png	etag:%22663af7d4-12ee%22	https://templates.hibootstrap.com/fafo/default/assets/images/logo.png	C:/My%20Web%20Sites/Restaurant%202/web/images/logo.png	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:44	33910/33910	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2004:11:05%20GMT	https://templates.hibootstrap.com/fafo/default/shops-grid.html	C:/My%20Web%20Sites/Restaurant%202/web/shops-grid.html	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:44	27431/27431	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2004:11:05%20GMT	https://templates.hibootstrap.com/fafo/default/forget-password.html	C:/My%20Web%20Sites/Restaurant%202/web/forget-password.html	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:44	30217/30217	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2004:11:05%20GMT	https://templates.hibootstrap.com/fafo/default/privacy-policy.html	C:/My%20Web%20Sites/Restaurant%202/web/privacy-policy.html	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:44	78569/78569	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2004:11:05%20GMT	https://templates.hibootstrap.com/fafo/default/index-2.html	C:/My%20Web%20Sites/Restaurant%202/web/index-2.html	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:45	92298/92298	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2004:11:05%20GMT	https://templates.hibootstrap.com/fafo/default/index-3.html	C:/My%20Web%20Sites/Restaurant%202/web/index-3.html	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:45	64545/64545	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2004:11:05%20GMT	https://templates.hibootstrap.com/fafo/default/index-1-without-revolution.html	C:/My%20Web%20Sites/Restaurant%202/web/index-1-without-revolution.html	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:45	68319/68319	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2004:11:05%20GMT	https://templates.hibootstrap.com/fafo/default/index-2-without-revolution.html	C:/My%20Web%20Sites/Restaurant%202/web/index-2-without-revolution.html	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:45	74533/74533	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2004:11:05%20GMT	https://templates.hibootstrap.com/fafo/default/index-3-without-revolution.html	C:/My%20Web%20Sites/Restaurant%202/web/index-3-without-revolution.html	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:45	67357/67357	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2004:11:05%20GMT	https://templates.hibootstrap.com/fafo/default/menu.html	C:/My%20Web%20Sites/Restaurant%202/web/menu.html	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:46	49051/49051	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2004:11:05%20GMT	https://templates.hibootstrap.com/fafo/default/about-us.html	C:/My%20Web%20Sites/Restaurant%202/web/about-us.html	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:46	31985/31985	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2004:11:05%20GMT	https://templates.hibootstrap.com/fafo/default/faqs.html	C:/My%20Web%20Sites/Restaurant%202/web/faqs.html	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:46	40316/40316	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2004:11:05%20GMT	https://templates.hibootstrap.com/fafo/default/our-history.html	C:/My%20Web%20Sites/Restaurant%202/web/our-history.html	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:46	39873/39873	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2004:11:05%20GMT	https://templates.hibootstrap.com/fafo/default/services.html	C:/My%20Web%20Sites/Restaurant%202/web/services.html	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:47	32856/32856	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2004:11:05%20GMT	https://templates.hibootstrap.com/fafo/default/our-team.html	C:/My%20Web%20Sites/Restaurant%202/web/our-team.html	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:47	29350/29350	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2004:11:05%20GMT	https://templates.hibootstrap.com/fafo/default/team-details.html	C:/My%20Web%20Sites/Restaurant%202/web/team-details.html	(from https://templates.hibootstrap.com/fafo/default/index.html)
